filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
kron_g500-logn18.egr,1138,262144,21269364,100000,6.53347,3.33,1.95,1.06,0.19,0.01
kron_g500-logn18.egr,1209,262144,21269364,100000,6.5322,3.42,1.85,1.06,0.19,0.01
kron_g500-logn18.egr,1071,262144,21269364,100000,6.54336,3.32,1.96,1.07,0.19,0.01
kron_g500-logn18.egr,1207,262144,21269364,100000,6.54728,3.31,1.97,1.07,0.19,0.01
kron_g500-logn18.egr,1117,262144,21269364,100000,6.53835,3.31,1.96,1.07,0.19,0.01
kron_g500-logn18.egr,121,262144,21269364,10000,5.47666,3.25,0.96,1.06,0.19,0.01
kron_g500-logn18.egr,130,262144,21269364,10000,6.5354,3.38,1.89,1.07,0.19,0.01
kron_g500-logn18.egr,129,262144,21269364,10000,5.4772,3.29,0.92,1.06,0.19,0.01
kron_g500-logn18.egr,106,262144,21269364,10000,5.47571,3.31,0.91,1.06,0.19,0.01
kron_g500-logn18.egr,99,262144,21269364,10000,6.53445,3.35,1.91,1.06,0.2,0.01
kron_g500-logn18.egr,3,262144,21269364,100,5.47841,3.28,0.93,1.06,0.19,0.01
kron_g500-logn18.egr,2,262144,21269364,100,5.47951,3.35,0.86,1.07,0.19,0.01
kron_g500-logn18.egr,3,262144,21269364,100,5.47612,3.36,0.85,1.06,0.19,0.01
kron_g500-logn18.egr,1,262144,21269364,100,5.41194,3.34,0.87,1.0,0.19,0.01
kron_g500-logn18.egr,3,262144,21269364,100,5.47269,3.32,0.89,1.06,0.19,0.01
kron_g500-logn18.egr,10,262144,21269364,1000,5.47388,3.38,0.83,1.07,0.19,0.01
kron_g500-logn18.egr,15,262144,21269364,1000,5.47558,3.36,0.86,1.06,0.19,0.01
kron_g500-logn18.egr,14,262144,21269364,1000,5.47798,3.29,0.92,1.07,0.19,0.01
kron_g500-logn18.egr,12,262144,21269364,1000,5.47793,3.43,0.78,1.06,0.19,0.01
kron_g500-logn18.egr,15,262144,21269364,1000,5.48017,3.37,0.84,1.06,0.19,0.01
