filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,finding unique comps,Update rep array
rgg_n_2_23_s0.egr,7137,8388608,127002794,100000,38.9328,32.82,2.93,2.1,1.07,0.01
rgg_n_2_23_s0.egr,4095,8388608,127002794,100000,31.5852,26.55,1.82,2.12,1.08,0.01
rgg_n_2_23_s0.egr,4733,8388608,127002794,100000,37.9055,32.13,2.57,2.12,1.07,0.01
rgg_n_2_23_s0.egr,11589,8388608,127002794,100000,38.9971,32.47,3.29,2.15,1.08,0.01
rgg_n_2_23_s0.egr,10470,8388608,127002794,100000,27.3981,22.7,1.47,2.13,1.08,0.01
rgg_n_2_23_s0.egr,746,8388608,127002794,10000,41.0599,34.64,3.2,2.12,1.08,0.01
rgg_n_2_23_s0.egr,918,8388608,127002794,10000,36.8427,30.49,3.15,2.11,1.08,0.01
rgg_n_2_23_s0.egr,1114,8388608,127002794,10000,38.9187,32.53,3.21,2.09,1.08,0.01
rgg_n_2_23_s0.egr,1166,8388608,127002794,10000,28.4462,23.46,1.77,2.13,1.08,0.01
rgg_n_2_23_s0.egr,1024,8388608,127002794,10000,36.8329,30.94,2.7,2.1,1.08,0.01
rgg_n_2_23_s0.egr,7,8388608,127002794,100,33.5427,30.19,0.28,1.98,1.08,0.01
rgg_n_2_23_s0.egr,8,8388608,127002794,100,33.6194,29.95,0.51,2.07,1.07,0.01
rgg_n_2_23_s0.egr,12,8388608,127002794,100,35.7667,31.77,0.8,2.1,1.07,0.01
rgg_n_2_23_s0.egr,13,8388608,127002794,100,36.8252,32.99,0.63,2.11,1.08,0.01
rgg_n_2_23_s0.egr,9,8388608,127002794,100,30.2059,26.48,0.84,1.8,1.08,0.01
rgg_n_2_23_s0.egr,137,8388608,127002794,1000,36.8175,33.26,0.36,2.1,1.08,0.01
rgg_n_2_23_s0.egr,104,8388608,127002794,1000,28.4361,24.53,0.69,2.13,1.08,0.01
rgg_n_2_23_s0.egr,45,8388608,127002794,1000,30.2822,26.88,0.45,1.88,1.07,0.01
rgg_n_2_23_s0.egr,99,8388608,127002794,1000,33.6675,30.17,0.29,2.11,1.08,0.01
rgg_n_2_23_s0.egr,90,8388608,127002794,1000,32.3692,29.04,0.38,1.87,1.07,0.01
