filename,numVertices,numEdges,batch_size,tree_edges_count,total_time
kmer_V1r.egr,214005017,465410920,100,83.6,499.17
kmer_V1r.egr,214005017,465410920,1000,850.6,504.57
kmer_V1r.egr,214005017,465410920,10000,8585.0,567.62
kmer_V1r.egr,214005017,465410920,100000,85673.2,647.45
