filename,numVertices,numEdges,batch_size,tree_edges_count,total_time
uk-2005.egr,39459925,1566080060,100,4.0,318.64
uk-2005.egr,39459925,1566080060,1000,46.8,345.48
uk-2005.egr,39459925,1566080060,10000,434.0,325.41
uk-2005.egr,39459925,1566080060,100000,4255.4,308.78
