filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
arabic-2005.egr,22744080,1107807202,1000,7.0,103.65,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,10000,90.0,111.15,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100000,725.4,114.45,arabic-2005_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100,61.2,243.23,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,1000,626.6,275.88,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,10000,6319.8,347.57,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,64551.4,398.02,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,24.6,193.17,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,322.0,219.2,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,3015.8,243.29,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,36586.6,282.39,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,33.0,76.6,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,247.4,69.45,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,2421.2,85.29,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,26882.6,131.32,GAP-road_output_data_average.csv
uk-2002.egr,18520486,523651232,100,2.2,69.64,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,1000,12.2,68.35,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,10000,168.0,84.11,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,100000,1465.2,72.56,uk-2002_output_data_average.csv
indochina-2004.egr,7414866,301970226,100,0.8,27.91,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,1000,6.6,42.17,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,10000,54.4,47.23,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,100000,637.8,55.56,indochina-2004_output_data_average.csv
web-BerkStan.egr,685230,13300290,100,2.0,3.51,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,1000,7.2,5.44,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,10000,95.0,5.86,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,100000,604.6,7.05,web-BerkStan_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100,2.4,10.77,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,1000,42.6,12.14,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,10000,385.8,13.63,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100000,3959.0,25.38,wiki-topcats_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100,0.8,3.9,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,1000,7.2,6.19,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,10000,58.6,5.53,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100000,911.6,13.86,kron_g500-logn19_output_data_average.csv
higgs-twitter.egr,456626,25017136,100,2.0,3.57,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,1000,23.6,6.07,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,10000,256.4,7.19,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,100000,2571.6,15.09,higgs-twitter_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100,75.6,585.89,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,1000,771.0,749.3,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,10000,7636.4,893.06,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100000,76770.8,1050.11,kmer_V1r_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100,1.6,4.51,coPapersDBLP_output_data_average.csv
