filename,numVertices,numEdges,batch_size,num_comps,total_time
kmer_V1r.egr,214005017,465410920,100,79.2,366.66
kmer_V1r.egr,214005017,465410920,1000,765.6,365.84
kmer_V1r.egr,214005017,465410920,10000,7661.8,373.29
kmer_V1r.egr,214005017,465410920,100000,76586.0,369.79
