filename,num_comps,numVertices,numEdges,batch_size,total_time
wiki-topcats.egr,3721,1791489,50888414,100000,14.5974
wiki-topcats.egr,3890,1791489,50888414,100000,14.0789
wiki-topcats.egr,4149,1791489,50888414,100000,16.2295
wiki-topcats.egr,4017,1791489,50888414,100000,14.079
wiki-topcats.egr,4214,1791489,50888414,100000,14.8122
wiki-topcats.egr,395,1791489,50888414,10000,12.8798
wiki-topcats.egr,371,1791489,50888414,10000,13.6217
wiki-topcats.egr,359,1791489,50888414,10000,13.1642
wiki-topcats.egr,392,1791489,50888414,10000,12.8615
wiki-topcats.egr,364,1791489,50888414,10000,13.989
wiki-topcats.egr,2,1791489,50888414,100,11.7898
wiki-topcats.egr,2,1791489,50888414,100,11.7433
wiki-topcats.egr,6,1791489,50888414,100,11.786
wiki-topcats.egr,4,1791489,50888414,100,11.9337
wiki-topcats.egr,6,1791489,50888414,100,12.2186
wiki-topcats.egr,43,1791489,50888414,1000,12.5545
wiki-topcats.egr,36,1791489,50888414,1000,13.0323
wiki-topcats.egr,37,1791489,50888414,1000,12.4822
wiki-topcats.egr,50,1791489,50888414,1000,12.6459
wiki-topcats.egr,38,1791489,50888414,1000,12.3509
