filename,numVertices,numEdges,batch_size,num_comps,total_time,source_file
kron_g500-logn21.egr,2097152,183188180,10000,101.8,11.76,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100000,950.6,10.92,kron_g500-logn21_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100,6.6,18.78,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,1000,48.4,20.75,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,10000,521.0,20.5,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100000,4685.4,19.18,ljournal-2008_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100,2.6,5.49,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,1000,15.2,5.7,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,10000,141.0,8.24,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100000,1433.0,7.19,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100,14.0,40.54,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,1000,91.4,45.89,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,10000,843.0,43.4,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100000,10008.4,43.48,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.egr,3072441,234370166,100,3.0,19.59,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,1000,21.0,17.67,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,10000,219.4,19.34,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,100000,2039.2,19.61,com-Orkut_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100,2.0,35.98,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,1000,9.8,36.09,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,10000,93.0,36.36,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100000,825.0,37.37,arabic-2005_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100,60.6,154.23,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,1000,629.4,152.5,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,10000,6269.6,153.43,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,62050.2,156.72,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,27.6,123.28,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,336.8,126.16,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,3590.8,126.34,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,28317.4,127.33,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,32.4,54.88,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,145.0,56.94,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,2315.8,55.95,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,25271.0,61.64,GAP-road_output_data_average.csv
uk-2002.egr,18520486,523651232,100,2.4,34.79,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,1000,15.6,36.05,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,10000,143.8,34.6,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,100000,1479.0,33.32,uk-2002_output_data_average.csv
indochina-2004.egr,7414866,301970226,100,2.0,25.17,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,1000,10.0,24.78,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,10000,70.4,25.61,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,100000,637.6,26.88,indochina-2004_output_data_average.csv
web-BerkStan.egr,685230,13300290,100,1.8,6.58,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,1000,12.2,6.57,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,10000,70.8,7.62,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,100000,1290.4,7.63,web-BerkStan_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100,4.2,9.17,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,1000,41.4,8.96,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,10000,416.6,9.8,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100000,4040.8,10.23,wiki-topcats_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100,1.8,6.56,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,1000,5.0,6.55,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,10000,78.2,6.55,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100000,521.6,7.62,kron_g500-logn19_output_data_average.csv
higgs-twitter.egr,456626,25017136,100,3.4,5.7,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,1000,24.8,6.54,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,10000,265.4,7.6,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,100000,2666.2,7.61,higgs-twitter_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100,79.2,366.66,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,1000,765.6,365.84,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,10000,7661.8,373.29,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100000,76586.0,369.79,kmer_V1r_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100,2.4,6.56,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,1000,26.8,6.56,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,10000,225.2,6.77,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100000,2248.8,6.78,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100,1.8,7.66,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,1000,10.8,7.66,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,10000,92.2,8.5,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100000,936.6,8.51,kron_g500-logn20_output_data_average.csv
road_usa.egr,23947347,57708624,100,21.4,57.96,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,1000,199.2,59.1,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,10000,3212.2,58.78,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,100000,22512.6,58.69,road_usa_output_data_average.csv
eu-2005.egr,862664,32276936,100,3.8,6.79,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,1000,20.6,6.79,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,10000,186.2,7.63,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,100000,1860.6,7.64,eu-2005_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100,15.4,45.6,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,1000,178.8,41.63,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,10000,1395.8,42.24,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100000,14860.8,41.55,delaunay_n24_output_data_average.csv
uk-2005.egr,39459925,1566080060,100,2.8,52.44,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,1000,14.0,52.49,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,10000,114.4,53.34,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,100000,1227.4,54.19,uk-2005_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100,55.8,277.61,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,1000,587.4,274.46,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,10000,5167.0,283.08,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100000,54286.8,285.76,kmer_P1a_output_data_average.csv
