filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
kron_g500-logn20.egr,926,1048576,89745562,100000,19.07,11.38,5.29,1.43,0.62,0.28,0.04,0.02,0.01
kron_g500-logn20.egr,869,1048576,89745562,100000,18.5899,11.35,4.82,1.45,0.63,0.28,0.04,0.01,0.01
kron_g500-logn20.egr,991,1048576,89745562,100000,19.0676,11.47,5.2,1.42,0.63,0.27,0.04,0.02,0.02
kron_g500-logn20.egr,949,1048576,89745562,100000,18.9913,11.32,5.29,1.4,0.62,0.29,0.04,0.02,0.01
kron_g500-logn20.egr,978,1048576,89745562,100000,18.9753,11.33,5.27,1.39,0.64,0.28,0.04,0.02,0.01
kron_g500-logn20.egr,113,1048576,89745562,10000,18.5708,11.28,5.14,1.35,0.48,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,81,1048576,89745562,10000,18.5489,11.28,5.08,1.38,0.48,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,83,1048576,89745562,10000,18.4382,11.13,5.16,1.35,0.48,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,80,1048576,89745562,10000,18.312,11.09,5.07,1.34,0.48,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,83,1048576,89745562,10000,18.5235,11.26,5.1,1.35,0.48,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,1,1048576,89745562,100,17.8694,10.82,5.14,1.34,0.24,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,1,1048576,89745562,100,18.0509,10.87,5.25,1.35,0.24,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,2,1048576,89745562,100,18.0628,10.84,5.24,1.37,0.28,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,2,1048576,89745562,100,17.9598,10.84,5.19,1.31,0.28,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,0,1048576,89745562,100,17.4857,10.67,5.22,1.3,,0.28,,,0.01
kron_g500-logn20.egr,3,1048576,89745562,1000,18.1005,10.84,5.33,1.33,0.28,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,9,1048576,89745562,1000,17.9929,10.84,5.12,1.34,0.35,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,11,1048576,89745562,1000,17.9632,10.84,5.11,1.33,0.36,0.27,0.03,0.01,0.01
kron_g500-logn20.egr,8,1048576,89745562,1000,18.1203,10.91,5.18,1.34,0.36,0.28,0.03,0.01,0.01
kron_g500-logn20.egr,9,1048576,89745562,1000,17.9716,10.83,5.1,1.34,0.36,0.28,0.03,0.01,0.01
