filename,numVertices,numEdges,batch_size,tree_edges_count,total_time
germany_osm.egr,11548845,24738362,100,31.2,27.44
germany_osm.egr,11548845,24738362,1000,312.4,28.1
germany_osm.egr,11548845,24738362,10000,3111.6,29.57
germany_osm.egr,11548845,24738362,100000,31148.6,32.24
