filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kmer_U1a.egr,67716231,138866824,10000,,273.17,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,,268.58,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,,216.27,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,,206.16,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,,216.14,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,,212.45,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,,91.75,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,,87.53,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,,96.12,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,,100.22,GAP-road_output_data_average.csv
uk-2002.egr,18520486,523651232,100,,123.89,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,1000,,131.91,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,10000,,140.37,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,100000,,135.21,uk-2002_output_data_average.csv
indochina-2004.egr,7414866,301970226,100,,55.69,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,1000,,65.8,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,10000,,68.94,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,100000,,72.24,indochina-2004_output_data_average.csv
web-BerkStan.egr,685230,13300290,100,,4.07,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,1000,,5.7,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,10000,,5.58,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,100000,,7.74,web-BerkStan_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100,,11.89,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,1000,,12.61,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,10000,,13.3,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100000,,14.76,wiki-topcats_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100,,7.82,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,1000,,7.56,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,10000,,10.53,kron_g500-logn19_output_data_average.csv
