filename,Batch Size,total_time,source_file
GAP-road.txt,1000,83.54,GAP-road_output_data_average.csv
GAP-road.txt,10000,90.3,GAP-road_output_data_average.csv
GAP-road.txt,100000,94.48,GAP-road_output_data_average.csv
uk-2002.txt,100,102.66,uk-2002_output_data_average.csv
uk-2002.txt,1000,109.88,uk-2002_output_data_average.csv
uk-2002.txt,10000,108.45,uk-2002_output_data_average.csv
uk-2002.txt,100000,106.7,uk-2002_output_data_average.csv
indochina-2004.txt,100,53.92,indochina-2004_output_data_average.csv
indochina-2004.txt,1000,63.5,indochina-2004_output_data_average.csv
indochina-2004.txt,10000,63.82,indochina-2004_output_data_average.csv
indochina-2004.txt,100000,63.48,indochina-2004_output_data_average.csv
web-BerkStan.txt,100,8.62,web-BerkStan_output_data_average.csv
web-BerkStan.txt,1000,9.77,web-BerkStan_output_data_average.csv
web-BerkStan.txt,10000,10.47,web-BerkStan_output_data_average.csv
web-BerkStan.txt,100000,13.26,web-BerkStan_output_data_average.csv
wiki-topcats.txt,100,18.76,wiki-topcats_output_data_average.csv
wiki-topcats.txt,1000,19.07,wiki-topcats_output_data_average.csv
wiki-topcats.txt,10000,21.82,wiki-topcats_output_data_average.csv
wiki-topcats.txt,100000,29.06,wiki-topcats_output_data_average.csv
kron_g500-logn19.txt,100,11.36,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,1000,11.32,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,10000,11.47,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,100000,11.3,kron_g500-logn19_output_data_average.csv
higgs-twitter.txt,100,9.37,higgs-twitter_output_data_average.csv
higgs-twitter.txt,1000,10.58,higgs-twitter_output_data_average.csv
higgs-twitter.txt,10000,13.46,higgs-twitter_output_data_average.csv
higgs-twitter.txt,100000,20.67,higgs-twitter_output_data_average.csv
kmer_V1r.txt,100,800.69,kmer_V1r_output_data_average.csv
kmer_V1r.txt,1000,826.83,kmer_V1r_output_data_average.csv
kmer_V1r.txt,10000,842.98,kmer_V1r_output_data_average.csv
kmer_V1r.txt,100000,889.95,kmer_V1r_output_data_average.csv
coPapersDBLP.txt,100,10.01,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,1000,11.7,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,10000,14.08,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,100000,17.29,coPapersDBLP_output_data_average.csv
kron_g500-logn20.txt,100,22.63,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,1000,25.66,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,10000,27.75,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,100000,36.35,kron_g500-logn20_output_data_average.csv
road_usa.txt,100,83.9,road_usa_output_data_average.csv
road_usa.txt,1000,89.24,road_usa_output_data_average.csv
road_usa.txt,10000,89.6,road_usa_output_data_average.csv
road_usa.txt,100000,101.45,road_usa_output_data_average.csv
eu-2005.txt,100,12.07,eu-2005_output_data_average.csv
eu-2005.txt,1000,12.89,eu-2005_output_data_average.csv
eu-2005.txt,10000,14.62,eu-2005_output_data_average.csv
eu-2005.txt,100000,18.45,eu-2005_output_data_average.csv
delaunay_n24.txt,100,62.54,delaunay_n24_output_data_average.csv
delaunay_n24.txt,1000,65.25,delaunay_n24_output_data_average.csv
delaunay_n24.txt,10000,68.71,delaunay_n24_output_data_average.csv
delaunay_n24.txt,100000,75.42,delaunay_n24_output_data_average.csv
uk-2005.txt,100,202.94,uk-2005_output_data_average.csv
uk-2005.txt,1000,245.76,uk-2005_output_data_average.csv
uk-2005.txt,10000,254.04,uk-2005_output_data_average.csv
uk-2005.txt,100000,257.25,uk-2005_output_data_average.csv
kmer_P1a.txt,100,596.65,kmer_P1a_output_data_average.csv
kmer_P1a.txt,1000,603.43,kmer_P1a_output_data_average.csv
kmer_P1a.txt,10000,630.69,kmer_P1a_output_data_average.csv
kmer_P1a.txt,100000,658.76,kmer_P1a_output_data_average.csv
