filename,numVertices,numEdges,batch_size,tree_edges_count,total_time
europe_osm.egr,50912018,108109320,100,16.0,119.89
europe_osm.egr,50912018,108109320,1000,205.6,141.48
europe_osm.egr,50912018,108109320,10000,833.6,153.51
europe_osm.egr,50912018,108109320,100000,18039.4,219.5
