filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
kron_g500-logn21.egr,100,553159,72851.38,9518.37,75.52,17.82,4.5
kron_g500-logn21.egr,100,553159,73496.35,9476.88,63.02,12.63,4.5
kron_g500-logn21.egr,100,553159,73166.04,9432.28,68.97,25.37,4.56
kron_g500-logn21.egr,100,553159,73528.64,9487.94,69.78,27.07,4.5
kron_g500-logn21.egr,100,553159,71698.25,9407.62,75.61,23.17,4.58
kron_g500-logn21.egr,1000,553159,73720.68,9513.45,52.21,16.71,4.53
kron_g500-logn21.egr,1000,553159,71915.87,9501.06,51.49,20.33,4.58
kron_g500-logn21.egr,1000,553159,73144.54,9488.45,69.08,21.79,4.54
kron_g500-logn21.egr,1000,553159,72172.91,9454.2,56.62,18.31,4.49
kron_g500-logn21.egr,1000,553159,73386.28,9497.02,68.64,19.87,4.6
kron_g500-logn21.egr,10000,553159,72525.19,9469.97,68.66,17.8,4.49
kron_g500-logn21.egr,10000,553159,72908.37,9464.26,75.45,21.06,4.52
kron_g500-logn21.egr,10000,553159,73076.77,9481.87,69.57,15.4,4.51
kron_g500-logn21.egr,10000,553159,73456.44,9476.52,81.98,15.35,4.5
kron_g500-logn21.egr,10000,553159,73125.06,9475.76,74.71,25.76,4.53
kron_g500-logn21.egr,100000,553159,73456.53,9476.88,45.16,14.2,5.58
kron_g500-logn21.egr,100000,553159,73839.52,9473.71,47.18,15.59,5.55
kron_g500-logn21.egr,100000,553159,73358.89,9491.88,59.09,20.18,4.54
kron_g500-logn21.egr,100000,553159,72299.64,9492.62,57.01,19.56,4.55
kron_g500-logn21.egr,100000,553159,73223.41,9491.64,69.72,19.62,4.55
