filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
rgg_n_2_23_s0.egr,100,1872,621.59,246.61,140.47,21.86,5.16
rgg_n_2_23_s0.egr,100,1872,615.0,248.88,121.2,21.91,5.14
rgg_n_2_23_s0.egr,100,1872,559.29,248.59,120.79,20.08,5.14
rgg_n_2_23_s0.egr,100,1872,621.01,247.8,121.01,20.02,5.21
rgg_n_2_23_s0.egr,100,1872,621.54,252.32,120.55,20.12,5.14
rgg_n_2_23_s0.egr,1000,1872,661.63,249.37,120.51,18.65,5.14
rgg_n_2_23_s0.egr,1000,1872,566.72,247.76,121.2,18.49,5.18
rgg_n_2_23_s0.egr,1000,1872,618.23,256.24,120.79,20.44,5.19
rgg_n_2_23_s0.egr,1000,1872,558.08,248.03,121.15,18.39,5.16
rgg_n_2_23_s0.egr,1000,1872,554.15,247.81,119.98,18.66,5.15
rgg_n_2_23_s0.egr,10000,1872,549.75,250.14,125.31,19.64,4.0
rgg_n_2_23_s0.egr,10000,1872,608.73,251.8,124.83,18.55,5.15
rgg_n_2_23_s0.egr,10000,1872,611.19,252.29,125.29,20.12,5.14
rgg_n_2_23_s0.egr,10000,1872,551.51,250.74,125.03,18.73,5.16
rgg_n_2_23_s0.egr,10000,1872,620.28,247.72,140.82,18.39,5.15
rgg_n_2_23_s0.egr,100000,1873,574.67,247.27,140.94,21.83,8.31
rgg_n_2_23_s0.egr,100000,1873,549.92,250.88,121.49,18.7,5.19
rgg_n_2_23_s0.egr,100000,1873,534.96,248.23,151.78,23.28,5.15
rgg_n_2_23_s0.egr,100000,1873,563.18,246.75,121.51,21.69,5.17
rgg_n_2_23_s0.egr,100000,1873,615.24,249.23,121.17,21.69,5.14
