filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
kron_g500-logn20.egr,100,253380,32518.87,3739.57,31.99,10.73,4.86
kron_g500-logn20.egr,100,253380,32649.94,3774.72,28.58,7.1,4.87
kron_g500-logn20.egr,100,253380,32628.56,3736.21,32.3,9.12,4.88
kron_g500-logn20.egr,100,253380,33317.54,3746.9,31.45,12.26,4.91
kron_g500-logn20.egr,100,253380,32513.4,3719.24,28.59,12.47,3.82
kron_g500-logn20.egr,1000,253380,32778.94,3735.38,25.63,7.13,4.97
kron_g500-logn20.egr,1000,253380,32081.47,3785.02,25.47,10.51,3.87
kron_g500-logn20.egr,1000,253380,33444.59,3781.12,31.78,8.88,8.48
kron_g500-logn20.egr,1000,253380,32810.82,3766.35,28.96,9.22,4.86
kron_g500-logn20.egr,1000,253380,33133.01,3741.4,28.84,9.03,4.86
kron_g500-logn20.egr,10000,253380,32727.46,3737.18,23.02,11.71,4.87
kron_g500-logn20.egr,10000,253380,32611.06,3744.61,39.51,8.83,9.36
kron_g500-logn20.egr,10000,253380,32982.61,3765.09,29.59,10.42,3.81
kron_g500-logn20.egr,10000,253380,33195.81,3759.55,31.93,9.91,4.86
kron_g500-logn20.egr,10000,253380,33042.43,3730.98,28.58,11.93,4.87
kron_g500-logn20.egr,100000,253380,33026.29,3811.43,32.04,12.13,4.95
kron_g500-logn20.egr,100000,253380,32916.56,3732.15,31.92,6.72,4.87
kron_g500-logn20.egr,100000,253380,32687.45,3763.82,22.21,7.22,4.89
kron_g500-logn20.egr,100000,253380,31892.21,3745.83,31.91,12.88,4.92
kron_g500-logn20.egr,100000,253380,32752.24,3743.84,29.5,10.85,4.91
