filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
web-BerkStan.egr,972,100,75.27,104.48,16.26
web-BerkStan.egr,972,1000,74.4,103.66,16.79
web-BerkStan.egr,972,10000,74.46,103.98,14.93
web-BerkStan.egr,972,100000,287.2,104.98,15.46
