filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
soc-LiveJournal1.egr,1877,100,104.43,220.83,53.32
soc-LiveJournal1.egr,1877,1000,108.61,226.01,53.17
soc-LiveJournal1.egr,1877,10000,113.73,222.0,53.06
soc-LiveJournal1.egr,1877,100000,106.97,223.46,52.75
