filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
road_usa.egr,6262,100,1029.17,885.69,620.16
road_usa.egr,6262,1000,1037.92,884.19,618.9
road_usa.egr,6262,10000,1050.19,886.28,606.75
road_usa.egr,6288,100000,1077.03,892.96,606.94
