filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
as-Skitter.egr,757,100,51.04,85.71,9.33
as-Skitter.egr,757,1000,51.58,85.74,12.35
as-Skitter.egr,757,10000,50.98,85.5,13.21
as-Skitter.egr,757,100000,49.83,84.78,13.3
