filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
delaunay_n24.egr,1651,100,565.81,267.41,395.17
delaunay_n24.egr,1651,1000,547.25,265.52,404.56
delaunay_n24.egr,1651,10000,624.1,273.31,393.52
delaunay_n24.egr,1651,100000,598.59,269.22,402.3
