filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST
germany_osm.egr,4620,100,568.62,618.68,197.25
germany_osm.egr,4620,1000,569.96,617.5,196.56
germany_osm.egr,4620,10000,582.41,621.97,202.99
germany_osm.egr,4620,100000,568.78,623.95,200.34
