filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST,source_file
com-Orkut.egr,8,1000,88.09,58.11,29.33,com-Orkut_output_data_average.csv
com-Orkut.egr,8,10000,92.17,64.55,32.97,com-Orkut_output_data_average.csv
com-Orkut.egr,8,100000,100.33,71.06,39.02,com-Orkut_output_data_average.csv
arabic-2005.egr,529,100,819.4,356.82,815.26,arabic-2005_output_data_average.csv
arabic-2005.egr,529,1000,821.56,352.89,764.11,arabic-2005_output_data_average.csv
arabic-2005.egr,529,10000,818.16,353.92,718.4,arabic-2005_output_data_average.csv
arabic-2005.egr,529,100000,827.12,355.39,761.43,arabic-2005_output_data_average.csv
kmer_U1a.egr,44147,100,12649.4,5438.58,2213.51,kmer_U1a_output_data_average.csv
kmer_U1a.egr,44147,1000,12597.71,5490.45,2247.62,kmer_U1a_output_data_average.csv
kmer_U1a.egr,44147,10000,12625.23,5564.28,2212.07,kmer_U1a_output_data_average.csv
kmer_U1a.egr,44147,100000,12709.39,5647.37,2130.77,kmer_U1a_output_data_average.csv
kmer_V2a.egr,15373,100,3990.27,2024.46,1528.12,kmer_V2a_output_data_average.csv
kmer_V2a.egr,15373,1000,3971.27,2005.42,1526.4,kmer_V2a_output_data_average.csv
kmer_V2a.egr,15373,10000,3975.53,2029.39,1527.36,kmer_V2a_output_data_average.csv
kmer_V2a.egr,15373,100000,3979.45,1988.09,1522.77,kmer_V2a_output_data_average.csv
GAP-road.egr,6262,100,1128.06,886.76,604.62,GAP-road_output_data_average.csv
GAP-road.egr,6262,1000,1146.56,894.31,619.68,GAP-road_output_data_average.csv
GAP-road.egr,6262,10000,1107.58,884.06,580.64,GAP-road_output_data_average.csv
GAP-road.egr,6262,100000,1105.38,882.86,614.27,GAP-road_output_data_average.csv
uk-2002.egr,38359,100,3579.15,4272.79,584.6,uk-2002_output_data_average.csv
uk-2002.egr,38359,1000,3567.11,4329.22,576.72,uk-2002_output_data_average.csv
uk-2002.egr,38359,10000,3576.1,4229.68,616.28,uk-2002_output_data_average.csv
